query_id,model,public_url,safe_to_share,screenshot_path,answer_path
q1,ChatGPT,https://dir.bettaso.com/dir-ai-api/z0chzCPtm1Iu3MJeG4wEbmD9ZqfI4pmQfDEAiVeM?sig=f17d6761248323afd5c24ccce43b16a5dbcb48f122911dbfaf9ff5a4d0bbef5d,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q1_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q1.txt
q2,ChatGPT,https://dir.bettaso.com/dir-ai-api/2iiWDjbEenJ9rxSvZBB8LvMAFgN3M9pmJs7YLwNY?sig=ac16298bf6c69690c1ccaef3831e37aab7842b6afa4853d5dc0930568dfea13d,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q2_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q2.txt
q3,ChatGPT,https://dir.bettaso.com/dir-ai-api/Rh9IryTBvixUNCBdEaknRUbylB5NV0EJLu1MX06p?sig=6c702b5d3b987249d5ab1434355307b3a9b82f022c5cc48e712b0879217f48f3,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q3_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q3.txt
q4,ChatGPT,https://dir.bettaso.com/dir-ai-api/PvyLgmgiHGRiWFPhzAgqknWLrc9BISrc0l8foYxr?sig=6d607ea5e3269498ad6f0db5c9acd13388585de33b2f171d40c8d341799ed666,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q4_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q4.txt
q5,ChatGPT,https://dir.bettaso.com/dir-ai-api/SUffHshN2rxdmgixHzp6p5YH1CMXwVsDv8OvNi7Z?sig=9bcabad40533b68ac56d46c0a53b9067bff87824a77831a10439bf28e58c1296,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q5_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q5.txt
q6,ChatGPT,https://dir.bettaso.com/dir-ai-api/PKuPCdrw8M6eLr4m3AzYhByfliVuUGwlWvVHVMle?sig=844b4d7598d3075b0b65adaeb96c8a905e8ba09070361554f79a7368afc42e2b,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q6_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q6.txt
q7,ChatGPT,https://dir.bettaso.com/dir-ai-api/xH8QHhIQZzT7E6fKLEHkRxR6xBNyos2P1vg5ZCds?sig=45df63c1480682e69f4471d42205d9646014e9d8bb68e84a42809888c4d6d07b,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q7_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q7.txt
q8,ChatGPT,https://dir.bettaso.com/dir-ai-api/ztnVSfEnMRpUAAE70Git1Ynt62pQgGjAR3ysUQ8C?sig=ed2b1cab2d4beb1f15e48c56cd1292edcfea2850b4a6cdd408e09d774037ffa9,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q8_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q8.txt
q9,ChatGPT,https://dir.bettaso.com/dir-ai-api/X0xazQZ6L7vKqy9mphXTrifdp3x8klFrpEYvgF0X?sig=3af755aca019d9bf9f44f843337b62ddbacd02772e35967ade99c7ad4f79584e,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q9_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q9.txt
q10,ChatGPT,https://dir.bettaso.com/dir-ai-api/qF3BH5A4ZGP5EmXPityIGloipIxOmfMP6u7JMO6T?sig=252293dc172c564bf567b22ab230066a6e587a6f63b88bcc5e68b90eafe11799,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q10_chatgpt.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/chatgpt/q10.txt
q1,Gemini,https://dir.bettaso.com/dir-ai-api/kLeJONFFDzQ5Nkb4LKuERA7XbdqCxQxBHWp20lAo?sig=faf8c8459ee8e0a4762246d3af3730209e25aa2cbb0c11cb7c78693df6e220fd,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q1_gemini.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/gemini/q1.txt
q3,Gemini,https://dir.bettaso.com/dir-ai-api/8ARTQxYmAr7HGAZ9e9KQHs52JqizyrM27cLwZJQ5?sig=7ad4a1cae0c2eed42fa90f0d3469a3de60e42cd4c3b40a8ddde09c47d895e4c4,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q3_gemini.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/gemini/q3.txt
q4,Gemini,https://dir.bettaso.com/dir-ai-api/H5neaoXWfT6tZLH7tMF9OhiWmJh3JKNcomAmjxax?sig=20a84f89e18ba3493019500667fb6ee677d40acb4de951dd2a409024ae1b40f1,yes,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q4_gemini.png,C:/git/AI_Mention-service/service_engine/inputs/captures/1billionlinks/2026-06-28-001/gemini/q4.txt
