query_id,model,local_screenshot_path,s3_key,public_image_url,uploaded_at,safe_to_share
q1,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q1_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q1_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q1_chatgpt.png,2026-08-02T11:50:22+00:00,yes
q2,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q2_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q2_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q2_chatgpt.png,2026-08-02T11:50:23+00:00,yes
q3,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q3_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q3_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q3_chatgpt.png,2026-08-02T11:50:23+00:00,yes
q4,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q4_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q4_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q4_chatgpt.png,2026-08-02T11:50:23+00:00,yes
q5,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q5_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q5_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q5_chatgpt.png,2026-08-02T11:50:24+00:00,yes
q6,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q6_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q6_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q6_chatgpt.png,2026-08-02T11:50:25+00:00,yes
q7,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q7_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q7_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q7_chatgpt.png,2026-08-02T11:50:25+00:00,yes
q8,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q8_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q8_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q8_chatgpt.png,2026-08-02T11:50:26+00:00,yes
q9,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q9_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q9_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q9_chatgpt.png,2026-08-02T11:50:26+00:00,yes
q10,ChatGPT,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q10_chatgpt.png,ai-mention/1billionlinks/2026-06-28-001/q10_chatgpt.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q10_chatgpt.png,2026-08-02T11:50:27+00:00,yes
q1,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q1_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q1_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q1_gemini.png,2026-08-02T11:50:27+00:00,yes
q2,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q2_gemini.png,,,SKIPPED (not client-safe),no
q3,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q3_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q3_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q3_gemini.png,2026-08-02T11:50:28+00:00,yes
q4,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q4_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q4_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q4_gemini.png,2026-08-02T11:50:28+00:00,yes
q5,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q5_gemini.png,,,SKIPPED (not client-safe),no
q6,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q6_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q6_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q6_gemini.png,2026-08-02T11:50:29+00:00,yes
q7,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q7_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q7_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q7_gemini.png,2026-08-02T11:50:30+00:00,yes
q8,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q8_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q8_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q8_gemini.png,2026-08-02T11:50:30+00:00,yes
q9,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q9_gemini.png,ai-mention/1billionlinks/2026-06-28-001/q9_gemini.png,https://cen-public-st.nbg1.your-objectstorage.com/ai-mention/1billionlinks/2026-06-28-001/q9_gemini.png,2026-08-02T11:50:30+00:00,yes
q10,Gemini,C:/git/AI_Mention-service/service_engine/inputs/screenshots/1billionlinks/2026-06-28-001/q10_gemini.png,,,SKIPPED (not client-safe),no
